Season,TeamID,adj_o,adj_d,luck,rank,adj_em
2011,1326,125.4,88.4,0.043,1,0.9824
2011,1181,118.8,87.2,0.006,2,0.972
2011,1242,119.8,88.3,0.071,3,0.9711
2011,1400,114.0,85.3,-0.055,4,0.9657
2011,1345,116.1,87.2,-0.004,5,0.9641
2011,1338,119.7,90.8,-0.003,6,0.96
2011,1458,125.8,96.4,0.014,7,0.9549
2011,1323,122.8,95.0,0.094,8,0.9505
2011,1323,122.8,95.0,0.094,8,0.9505
2011,1323,122.8,95.0,0.094,8,0.9505
2011,1323,122.8,95.0,0.094,8,0.9505
2011,1361,112.6,87.1,0.067,9,0.9499
2011,1246,118.2,91.7,-0.073,10,0.949
2011,1393,115.8,89.9,0.064,11,0.9484
2011,1314,112.2,87.2,0.051,12,0.9477
2011,1314,112.2,87.2,0.051,12,0.9477
2011,1314,112.2,87.2,0.051,12,0.9477
2011,1314,112.2,87.2,0.051,12,0.9477
2011,1140,118.2,91.9,0.053,13,0.9472
2011,1140,118.2,91.9,0.053,13,0.9472
2011,1140,118.2,91.9,0.053,13,0.9472
2011,1140,118.2,91.9,0.053,13,0.9472
2011,1257,111.4,87.1,-0.015,14,0.944
2011,1429,110.9,88.0,0.037,15,0.9346
2011,1449,118.0,94.3,-0.115,16,0.9294
2011,1228,112.7,90.6,-0.072,17,0.9253
2011,1196,115.6,92.9,0.04,18,0.925
2011,1125,112.7,90.6,-0.007,19,0.9248
2011,1163,114.7,92.5,0.018,20,0.9221
2011,1452,112.9,91.8,-0.017,21,0.915
2011,1452,112.9,91.8,-0.017,21,0.915
2011,1452,112.9,91.8,-0.017,21,0.915
2011,1452,112.9,91.8,-0.017,21,0.915
2011,1424,109.5,89.2,0.026,22,0.9137
2011,1424,109.5,89.2,0.026,22,0.9137
2011,1424,109.5,89.2,0.026,22,0.9137
2011,1424,109.5,89.2,0.026,22,0.9137
2011,1153,110.1,89.8,0.047,23,0.9128
2011,1435,115.2,95.1,-0.043,24,0.9007
2011,1206,113.2,93.6,-0.015,25,0.899
2011,1206,113.2,93.6,-0.015,25,0.899
2011,1206,113.2,93.6,-0.015,25,0.899
2011,1206,113.2,93.6,-0.015,25,0.899
2011,1437,114.7,95.1,-0.027,26,0.8964
2011,1112,115.1,95.5,0.078,27,0.8953
2011,1439,110.0,91.3,-0.022,28,0.8948
2011,1439,110.0,91.3,-0.022,28,0.8948
2011,1439,110.0,91.3,-0.022,28,0.8948
2011,1439,110.0,91.3,-0.022,28,0.8948
2011,1211,110.4,91.6,-0.015,29,0.8947
2011,1243,110.5,91.7,0.014,30,0.8946
2011,1155,106.5,88.7,-0.074,31,0.8912
2011,1207,113.2,94.4,0.045,32,0.8899
2011,1281,113.4,94.7,-0.012,33,0.8884
2011,1266,115.1,96.2,-0.076,34,0.8881
2011,1268,109.2,91.2,-0.088,35,0.8877
2011,1462,112.9,94.4,0.061,36,0.8867
2011,1385,110.6,92.6,0.051,37,0.8849
2011,1396,110.0,92.8,0.031,38,0.8765
2011,1425,107.8,91.3,-0.042,39,0.8713
2011,1425,107.8,91.3,-0.042,39,0.8713
2011,1425,107.8,91.3,-0.042,39,0.8713
2011,1425,107.8,91.3,-0.042,39,0.8713
2011,1401,109.0,92.4,0.067,40,0.8703
2011,1199,102.9,87.3,0.012,41,0.8697
2011,1307,111.7,94.7,-0.062,42,0.8696
2011,1307,111.7,94.7,-0.062,42,0.8696
2011,1307,111.7,94.7,-0.062,42,0.8696
2011,1307,111.7,94.7,-0.062,42,0.8696
2011,1277,108.6,92.8,0.029,43,0.8589
2011,1276,110.3,94.4,0.009,44,0.8575
2011,1304,105.3,90.4,-0.067,45,0.852
2011,1104,103.1,88.7,-0.022,46,0.8501
2011,1336,113.4,97.6,0.048,47,0.8494
2011,1450,108.4,93.3,-0.042,48,0.849
2011,1330,108.9,93.8,0.076,49,0.8483
2011,1330,108.9,93.8,0.076,49,0.8483
2011,1330,108.9,93.8,0.076,49,0.8483
